name,bronze,silver,gold,total
Timor-Leste,0,0,0,0
Seychelles,0,0,0,0
Lesotho,0,0,0,0
Monaco,0,0,0,0
D.R. Congo,0,0,0,0
Nauru,0,0,0,0
Oman,0,0,0,0
Albania,0,0,0,0
Nepal,0,0,0,0
Vanuatu,0,0,0,0
Benin,0,0,0,0
Papua New Guinea,0,0,0,0
Libya,0,0,0,0
Marshall Islands,0,0,0,0
Sudan,0,0,0,0
Yemen,0,0,0,0
Cook Islands,0,0,0,0
Netherlands Antilles,0,0,0,0
Guinea,0,0,0,0
Lebanon,0,0,0,0
Zimbabwe,0,0,0,0
Barbados,0,0,0,0
Refugee Olympic Team,0,0,0,0
Maldives,0,0,0,0
Tajikistan,0,0,0,0
"Virgin Islands, US",0,0,0,0
Costa Rica,0,0,0,0
Samoa,0,0,0,0
Myanmar,0,0,0,0
St Vincent & Grenadines,0,0,0,0
Singapore,0,0,0,0
Gabon,0,0,0,0
Bhutan,0,0,0,0
Bangladesh,0,0,0,0
Venezuela,0,3,1,4
Romania,0,3,1,4
South Africa,0,2,1,3
Tunisia,0,1,1,2
Puerto Rico,0,0,1,1
Morocco,0,0,1,1
Bermuda,0,0,1,1
Ecuador,0,1,2,3
Kosovo,0,0,2,2
Bahamas,0,0,2,2
Sweden,0,6,3,9
Colombia,1,4,0,5
Kyrgyzstan,1,2,0,3
Nigeria,1,1,0,2
Jordan,1,1,0,2
Malaysia,1,1,0,2
Côte d'Ivoire,1,0,0,1
Ghana,1,0,0,1
Burkina Faso,1,0,0,1
Syrian Arab Republic,1,0,0,1
Kuwait,1,0,0,1
Republic of Moldova,1,0,0,1
Grenada,1,0,0,1
Botswana,1,0,0,1
Philippines,1,2,1,4
Slovakia,1,2,1,4
Fiji,1,0,1,2
Thailand,1,0,1,2
Estonia,1,0,1,2
Latvia,1,0,1,2
Georgia,1,5,2,8
Greece,1,1,2,4
Uganda,1,1,2,4
Qatar,1,0,2,3
Slovenia,1,1,3,5
Republic of Korea,10,4,6,20
France,11,12,10,33
Canada,11,6,7,24
Ukraine,12,6,1,19
Netherlands,14,12,10,36
Germany,16,11,10,37
Japan,17,14,27,58
People's Republic of China,18,32,38,88
Dominican Republic,2,3,0,5
Armenia,2,2,0,4
Argentina,2,1,0,3
San Marino,2,1,0,3
Finland,2,0,0,2
Portugal,2,1,1,4
Ethiopia,2,1,1,4
Ireland,2,0,2,4
Israel,2,0,2,4
Croatia,2,3,3,8
Islamic Republic of Iran,2,2,3,7
Bulgaria,2,1,3,6
Uzbekistan,2,0,3,5
Kenya,2,4,4,10
Norway,2,2,4,8
Italy,20,10,10,40
Australia,22,7,17,46
Great Britain,22,21,22,65
ROC,23,28,20,71
Mongolia,3,1,0,4
Belarus,3,3,1,7
"Hong Kong, China",3,2,1,6
Indonesia,3,1,1,5
Belgium,3,1,3,7
Czech Republic,3,4,4,11
United States of America,33,41,39,113
Azerbaijan,4,3,0,7
Mexico,4,0,0,4
India,4,2,1,7
Egypt,4,1,1,6
Denmark,4,4,3,11
Jamaica,4,1,4,9
Austria,5,1,1,7
Serbia,5,1,3,9
Poland,5,5,4,14
Cuba,5,3,7,15
Chinese Taipei,6,4,2,12
Spain,6,8,3,17
Switzerland,6,4,3,13
Hungary,7,7,6,20
New Zealand,7,6,7,20
Kazakhstan,8,0,0,8
Brazil,8,6,7,21
Turkey,9,2,2,13
